date,reservoir_name_as_reported,min_drawdown_level_m,full_reservoir_level_m,full_reservoir_storage_mcm,full_reservoir_storage_reported_mu,level_m,effective_storage_mcm,storage_percent,generation_capability_gross_mu,generation_capability_station_mu,classification,source_sha256
2024-04-03,PAMBA,963.168,986.332,31.001,59.46,964.05,0.62,45,413.296,348.113,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,KAKKI,908.304,981.456,446.542,856.467,963.765,214.863,0,0,,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,SHOLAYAR,779.374,811.68,149.23,152.065,798.454,56.541,38,57.615,37.713,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,IDAMALAYAR,115,169,1017.8,254.45,146.75,443.75,44,110.938,110.938,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,128.83,55.724,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,MADUPPATTY,1554.48,1599.59,55.217,161.234,1592.5,36.8,67,0,,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,KUTTIADI,737.616,758.037,33.99,42.827,752.765,21.318,63,105.422,102.075,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,THARIODE,750.5,775.6,201,253.26,762.35,62.35,31,0,,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,ANAYIRANKAL,1188,1207.008,48.968,65.616,1202.5,29.53,60,64.427,22.679,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,PONMUDI,678.8,707.745,47.4,63.516,694.3,18.55,39,0,,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,NERIAMANGALAM,445,456.59,5.557,4.835,453.2,3.38,61,2.941,1.385,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,PORINGAL,405.689,423.976,30.356,10.625,416.4,11.9,39,4.165,4.165,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,SENGULAM (SBR),844.86,847.6,1.614,0.71,846.75,,0,0,,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,LOWER PERIYAR,237.74,253,4.55,2.093,250.2,3.36,74,1.546,1.546,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-03,KAKKAD,181.36,192.63,1.16,0.358,188,,0,0,,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
2024-04-04,IDUKKI,694.944,732.43,1460,2190,715.347,632.55,43,948.825,929.849,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,PAMBA,963.168,986.332,31.001,59.46,963.8,0.42,44,407.517,343.245,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,KAKKI,908.304,981.456,446.542,856.467,963.454,212.05,0,0,,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,SHOLAYAR,779.374,811.68,149.23,152.065,798.241,55.473,37,56.527,37.001,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,IDAMALAYAR,115,169,1017.8,254.45,146.54,439.34,43,109.835,109.835,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,127.954,55.345,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,MADUPPATTY,1554.48,1599.59,55.217,161.234,1592.35,36.5,66,0,,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,KUTTIADI,737.616,758.037,33.99,42.827,752.308,20.403,60,103.261,99.983,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,THARIODE,750.5,775.6,201,253.26,762.25,61.55,31,0,,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,ANAYIRANKAL,1188,1207.008,48.968,65.616,1202.3,28.83,59,62.846,22.123,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,PONMUDI,678.8,707.745,47.4,63.516,694,18.07,38,0,,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,NERIAMANGALAM,445,456.59,5.557,4.835,452.75,,0,0,,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,PORINGAL,405.689,423.976,30.356,10.625,415.95,11,36,3.85,3.85,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,SENGULAM (SBR),844.86,847.6,1.614,0.71,846.75,,0,0,,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,LOWER PERIYAR,237.74,253,4.55,2.093,250,3.28,72,1.509,1.509,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-04,KAKKAD,181.36,192.63,1.16,0.358,188.4,,0,0,,official_observed_reference,9bb475aaac1fc53747f483db6b6d3d424a6f2d160423752b6163bd96bc0a3718
2024-04-05,IDUKKI,694.944,732.43,1460,2190,715.189,626.16,43,939.24,920.455,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,PAMBA,963.168,986.332,31.001,59.46,963.7,0.35,44,402.049,338.639,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,KAKKI,908.304,981.456,446.542,856.467,963.14,209.269,0,0,,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,SHOLAYAR,779.374,811.68,149.23,152.065,798.027,54.423,36,55.457,36.3,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,IDAMALAYAR,115,169,1017.8,254.45,146.34,435.14,43,108.785,108.785,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,127.078,54.966,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,MADUPPATTY,1554.48,1599.59,55.217,161.234,1592.2,36.2,66,0,,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,KUTTIADI,737.616,758.037,33.99,42.827,752.186,20.189,59,101.227,98.014,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,THARIODE,750.5,775.6,201,253.26,762.1,60.15,30,0,,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,ANAYIRANKAL,1188,1207.008,48.968,65.616,1202.09,28.095,57,61.003,21.474,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,PONMUDI,678.8,707.745,47.4,63.516,693.6,17.43,37,0,,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,NERIAMANGALAM,445,456.59,5.557,4.835,452.85,3.17,57,2.758,1.299,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,PORINGAL,405.689,423.976,30.356,10.625,415.5,10.2,34,3.57,3.57,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,SENGULAM (SBR),844.86,847.6,1.614,0.71,846.7,,0,0,,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,LOWER PERIYAR,237.74,253,4.55,2.093,250.2,3.36,74,1.546,1.546,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-05,KAKKAD,181.36,192.63,1.16,0.358,186.7,,0,0,,official_observed_reference,bc92e085cd4757ff80d899e016bed05325a3fe2b23629ccdc633117bbdf0cebe
2024-04-06,IDUKKI,694.944,732.43,1460,2190,715.036,620.015,42,930.023,911.422,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,PAMBA,963.168,986.332,31.001,59.46,963.6,0.28,43,397.024,334.407,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,KAKKI,908.304,981.456,446.542,856.467,962.838,206.719,0,0,,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,SHOLAYAR,779.374,811.68,149.23,152.065,797.784,53.222,36,54.233,35.499,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,IDAMALAYAR,115,169,1017.8,254.45,146.12,430.52,42,107.63,107.63,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,126.202,54.587,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,MADUPPATTY,1554.48,1599.59,55.217,161.234,1592.05,35.9,65,0,,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,KUTTIADI,737.616,758.037,33.99,42.827,751.942,19.671,58,99.566,96.406,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,THARIODE,750.5,775.6,201,253.26,762,59.35,30,0,,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,ANAYIRANKAL,1188,1207.008,48.968,65.616,1201.89,27.395,56,59.422,20.918,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,PONMUDI,678.8,707.745,47.4,63.516,693.3,16.95,36,0,,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,NERIAMANGALAM,445,456.59,5.557,4.835,453.1,3.32,60,2.888,1.361,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,PORINGAL,405.689,423.976,30.356,10.625,415.35,9.975,33,3.491,3.491,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,SENGULAM (SBR),844.86,847.6,1.614,0.71,846.5,,0,0,,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,LOWER PERIYAR,237.74,253,4.55,2.093,249.5,3.08,68,1.417,1.417,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-06,KAKKAD,181.36,192.63,1.16,0.358,188.4,,0,0,,official_observed_reference,9a5ddd2033f4e7c0d798ccd7b85a6c90dcc9a9a9eb1973d96d3508097a8f0847
2024-04-07,IDUKKI,694.944,732.43,1460,2190,714.957,616.82,42,925.23,906.725,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,PAMBA,963.168,986.332,31.001,59.46,963.5,0.21,43,393.017,331.032,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,KAKKI,908.304,981.456,446.542,856.467,962.601,204.7,0,0,,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,SHOLAYAR,779.374,811.68,149.23,152.065,797.631,52.472,35,53.468,34.998,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,IDAMALAYAR,115,169,1017.8,254.45,146,428,42,107,107,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,125.326,54.208,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,MADUPPATTY,1554.48,1599.59,55.217,161.234,1591.9,35.6,64,0,,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,KUTTIADI,737.616,758.037,33.99,42.827,751.942,19.671,58,98.81,95.674,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,THARIODE,750.5,775.6,201,253.26,761.9,58.75,29,0,,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,ANAYIRANKAL,1188,1207.008,48.968,65.616,1201.69,26.695,55,57.841,20.361,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,PONMUDI,678.8,707.745,47.4,63.516,693,16.47,35,0,,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,NERIAMANGALAM,445,456.59,5.557,4.835,454,3.86,69,3.358,1.582,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,PORINGAL,405.689,423.976,30.356,10.625,415.5,10.2,34,3.57,3.57,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,SENGULAM (SBR),844.86,847.6,1.614,0.71,846.75,,0,0,,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,LOWER PERIYAR,237.74,253,4.55,2.093,250.9,3.65,80,1.679,1.679,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-07,KAKKAD,181.36,192.63,1.16,0.358,187.85,,0,0,,official_observed_reference,4e3bc173178c5272fbd045f72cf3269cd19a7dd5a6f23512c8962d541cbd63dc
2024-04-08,IDUKKI,694.944,732.43,1460,2190,714.835,611.904,42,917.856,899.499,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,PAMBA,963.168,986.332,31.001,59.46,963.45,0.17,42,387.846,326.677,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,KAKKI,908.304,981.456,446.542,856.467,962.284,202.044,0,0,,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,SHOLAYAR,779.374,811.68,149.23,152.065,797.357,51.121,34,52.092,34.097,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,IDAMALAYAR,115,169,1017.8,254.45,145.77,423.17,42,105.793,105.793,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,124.742,53.955,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,MADUPPATTY,1554.48,1599.59,55.217,161.234,1591.8,35.4,64,0,,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,KUTTIADI,737.616,758.037,33.99,42.827,751.79,19.366,57,97.418,94.326,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,THARIODE,750.5,775.6,201,253.26,761.8,57.95,29,0,,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,ANAYIRANKAL,1188,1207.008,48.968,65.616,1201.49,25.995,53,56.474,19.88,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,PONMUDI,678.8,707.745,47.4,63.516,692.8,16.15,34,0,,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,NERIAMANGALAM,445,456.59,5.557,4.835,453.8,3.74,67,3.254,1.533,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,PORINGAL,405.689,423.976,30.356,10.625,415.5,10.2,34,3.57,3.57,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,SENGULAM (SBR),844.86,847.6,1.614,0.71,846.85,,0,0,,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,LOWER PERIYAR,237.74,253,4.55,2.093,250.9,3.65,80,1.679,1.679,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-08,KAKKAD,181.36,192.63,1.16,0.358,187,,0,0,,official_observed_reference,51a2017d6103c7c84b3fcad633b069b472044adb58160eef54c7009149e947d8
2024-04-09,IDUKKI,694.944,732.43,1460,2190,714.713,606.988,42,910.482,892.272,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,PAMBA,963.168,986.332,31.001,59.46,963.35,0.1,42,382.006,321.758,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,KAKKI,908.304,981.456,446.542,856.467,961.936,199.069,0,0,,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,SHOLAYAR,779.374,811.68,149.23,152.065,797.143,50.09,34,51.042,33.41,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,IDAMALAYAR,115,169,1017.8,254.45,145.54,418.34,41,104.585,104.585,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,124.158,53.703,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,MADUPPATTY,1554.48,1599.59,55.217,161.234,1591.7,35.2,64,0,,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,KUTTIADI,737.616,758.037,33.99,42.827,751.393,18.573,55,95.663,92.626,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,THARIODE,750.5,775.6,201,253.26,761.7,57.35,29,0,,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,ANAYIRANKAL,1188,1207.008,48.968,65.616,1201.28,25.26,52,55.061,19.382,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,PONMUDI,678.8,707.745,47.4,63.516,692.6,15.83,33,0,,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
2024-04-09,NERIAMANGALAM,445,456.59,5.557,4.835,453.95,3.83,69,3.332,1.57,official_observed_reference,42fcc3d33f33404ae1b41bb1a91341e87aefefcc436dff9fa167c28d42a29f16
